	Gene Name	Protein name	Product Description	Evidence Ontology Term	GO Term
PA14_31400	ctpH	Putative methyl-accepting chemotaxis transducer	chemotaxis transducer	match to InterPro signature evidence used in automatic assertion	signal transducer activity; signal transduction; integral component of membrane; membrane; chemotaxis; protein binding
PA14_31430	PA14_31430				
PA14_31440	PA14_31440				
PA14_31460	PA14_31460	Putative transport protein	transporter	match to InterPro signature evidence used in automatic assertion	membrane
PA14_31470	PA14_31470	Putative acyl-CoA synthetases (AMP-forming)	AMP-binding protein	match to InterPro signature evidence used in automatic assertion	catalytic activity; metabolic process
PA14_31480	PA14_31480	Putative transcriptional regulator, AraC family	AraC family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	DNA binding; sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated; sequence-specific DNA binding
PA14_31500	PA14_31500	Putative acyl-coenzyme A synthetases/AMP-(Fatty) acid ligases	AMP-binding protein	match to InterPro signature evidence used in automatic assertion	catalytic activity; metabolic process
PA14_31510	PA14_31510	Putative short-chain dehydrogenase	short-chain dehydrogenase	match to InterPro signature evidence used in automatic assertion	metabolic process; oxidoreductase activity
PA14_31530	PA14_31530	Putative acyl-CoA thiolase	acyl-CoA thiolase	match to InterPro signature evidence used in automatic assertion	metabolic process; transferase activity, transferring acyl groups other than amino-acyl groups; catalytic activity
PA14_31540	acdA	Putative acyl-CoA dehydrogenase	acyl-CoA dehydrogenase	match to InterPro signature evidence used in automatic assertion	acyl-CoA dehydrogenase activity; oxidation-reduction process; oxidoreductase activity, acting on the CH-CH group of donors; metabolic process; flavin adenine dinucleotide binding
PA14_31560	PA14_31560	Putative transcriptional regulator, LysR family	LysR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_31580	PA14_31580	Putative acyl-CoA dehydrogenase	acyl-CoA dehydrogenase	match to InterPro signature evidence used in automatic assertion	metabolic process; oxidoreductase activity, acting on the CH-CH group of donors; flavin adenine dinucleotide binding; oxidation-reduction process; acyl-CoA dehydrogenase activity
PA14_31610	PA14_31610	Putative membrane protein, TerC family	TerC family protein	match to InterPro signature evidence used in automatic assertion	integral component of membrane
PA14_31630	PA14_31630	Putative transcriptional regulator, LysR family	LysR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_31640	PA14_31640				
PA14_31650	xthA	Exodeoxyribonuclease III	exonuclease III	match to InterPro signature evidence used in automatic assertion	nuclease activity; DNA repair; DNA binding; endonuclease activity; intracellular
PA14_31660	PA14_31660	Putative acetyltransferase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	N-acetyltransferase activity
PA14_31680	PA14_31680	Putative outer membrane protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	outer membrane
PA14_31700	pgsA	CDP-alcohol phosphatidyltransferase	CDP-alcohol phosphatidyltransferase	match to InterPro signature evidence used in automatic assertion	phospholipid biosynthetic process; membrane; phosphotransferase activity, for other substituted phosphate groups
PA14_31730	PA14_31730	Putative dual specificity phosphatase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	catalytic activity; membrane; protein dephosphorylation; protein tyrosine/serine/threonine phosphatase activity; dephosphorylation; phosphatase activity
PA14_31750	PA14_31750	Putative acyltransferase	acyltransferase	match to InterPro signature evidence used in automatic assertion	metabolic process; transferase activity, transferring acyl groups
PA14_31760	cdsA	Putative phosphatidate cytidylyltransferase	phosphatidate cytidylyltransferase	match to InterPro signature evidence used in automatic assertion	membrane; transferase activity, transferring phosphorus-containing groups
PA14_31780	PA14_31780	Putative transcriptional regulator, LysR family	LysR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_31800	PA14_31800	Putative sodium:alanine symporter	sodium:alanine symporter	match to InterPro signature evidence used in automatic assertion	sodium ion transport; alanine:sodium symporter activity; membrane; alanine transport
PA14_31810	tpx	Probable thiol peroxidase (EC 1.11.1.-)	thiol peroxidase	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity, acting on peroxide as acceptor; oxidation-reduction process; oxidoreductase activity; thioredoxin peroxidase activity; antioxidant activity
PA14_31820	hisC	Putative aminotransferase	aminotransferase	match to InterPro signature evidence used in automatic assertion	catalytic activity; pyridoxal phosphate binding; biosynthetic process
PA14_31840	PA14_31840				
PA14_31850	PA14_31850				
PA14_31870	PA14_31870	Putative RND efflux membrane fusion protein	RND efflux membrane fusion protein	match to InterPro signature evidence used in automatic assertion	membrane; transmembrane transport
PA14_31890	PA14_31890	Putative RND efflux transporter	RND efflux transporter	match to InterPro signature evidence used in automatic assertion	transporter activity; transport; membrane
PA14_31900	PA14_31900	Putative efflux transporter	efflux transporter	match to InterPro signature evidence used in automatic assertion	transporter activity; transport; membrane
PA14_31920	opmB	Putative outer membrane protein	outer membrane protein	match to InterPro signature evidence used in automatic assertion	transporter activity; transport; lipid binding; membrane
PA14_31950	cztS	Putative heavy metal sensor histidine kinase	two-component sensor	match to InterPro signature evidence used in automatic assertion	signal transducer activity; signal transduction; integral component of membrane; phosphorelay sensor kinase activity; membrane; phosphorylation; transferase activity, transferring phosphorus-containing groups; phosphorelay signal transduction system; protein histidine kinase activity
PA14_31960	czrR	Putative DNA-binding heavy metal response regulator	two-component response regulator	match to InterPro signature evidence used in automatic assertion	phosphorelay signal transduction system; DNA binding; regulation of transcription, DNA-templated
PA14_31970	czcC	Cobalt/zinc/cadmium efflux RND transporter, outer membrane protein, CzcC family	CzcC family cobalt/zinc/cadmium efflux transporter outer membrane protein	match to InterPro signature evidence used in automatic assertion	transporter activity; transport
PA14_31990	czcB	Cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein, CzcB famil	cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein, CzcB famil	match to InterPro signature evidence used in automatic assertion	membrane; transmembrane transport
PA14_32060	xylS	Transcriptional regulator XylS	transcriptional regulator XylS	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated; sequence-specific DNA binding; DNA binding
PA14_32080	xylX	Toluate 1,2-dioxygenase alpha subunit	toluate 1,2-dioxygenase subunit alpha	match to InterPro signature evidence used in automatic assertion	iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; 2 iron, 2 sulfur cluster binding; oxidation-reduction process; oxidoreductase activity; cellular aromatic compound metabolic process; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of two atoms of oxygen into one donor; aromatic compound catabolic process
PA14_32100	xylY	Toluate 1,2-dioxygenase beta subunit	toluate 1,2-dioxygenase subunit beta	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of two atoms of oxygen into one donor; oxidation-reduction process; catalytic activity; cellular aromatic compound metabolic process
PA14_32110	xylZ	Toluate 1,2-dioxygenase electron transfer component	toluate 1,2-dioxygenase electron transfer component	match to InterPro signature evidence used in automatic assertion	electron carrier activity; iron-sulfur cluster binding; oxidoreductase activity; oxidation-reduction process; 2 iron, 2 sulfur cluster binding
PA14_32130	xylL	Cis-1,2-dihydroxycyclohexa-3,4-diene carboxylate dehydrogenase	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase	match to InterPro signature evidence used in automatic assertion	metabolic process; oxidoreductase activity
PA14_32140	antC	Anthranilate dioxygenase reductase	anthranilate dioxygenase reductase	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity; oxidation-reduction process; electron carrier activity; iron-sulfur cluster binding; 2 iron, 2 sulfur cluster binding
PA14_32150	antB	Anthranilate dioxygenase small subunit	anthranilate dioxygenase small subunit	match to InterPro signature evidence used in automatic assertion	catalytic activity; cellular aromatic compound metabolic process; oxidation-reduction process
PA14_32160	antA	Anthranilate dioxygenase large subunit	anthranilate dioxygenase large subunit	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity; 2 iron, 2 sulfur cluster binding; oxidation-reduction process; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of two atoms of oxygen into one donor; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; aromatic compound catabolic process; cellular aromatic compound metabolic process
PA14_32190	PA14_32190	Putative transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	DNA binding; sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated; sequence-specific DNA binding
PA14_32200	catR	Transcriptional regulator CatR	transcriptional regulator CatR	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_32220	catB	Muconate cycloisomerase I	muconate cycloisomerase I	match to InterPro signature evidence used in automatic assertion	muconate cycloisomerase activity; chloromuconate cycloisomerase activity; manganese ion binding; cellular amino acid catabolic process
PA14_32230	catC	Muconolactone Delta-isomerase (MIase) (EC 5.3.3.4)	muconolactone delta-isomerase	match to InterPro signature evidence used in automatic assertion	cellular aromatic compound metabolic process
PA14_32240	catA	Catechol 1,2-dioxygenase	catechol 1,2-dioxygenase	match to InterPro signature evidence used in automatic assertion	iron ion binding; catechol 1,2-dioxygenase activity; catechol-containing compound catabolic process; oxidation-reduction process; catalytic activity; cellular aromatic compound metabolic process; ferric iron binding; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen; catechol-containing compound metabolic process
PA14_32270	oprD3	Putative outer membrane protein	porin	match to InterPro signature evidence used in automatic assertion	transport; porin activity; integral component of membrane
PA14_32280	PA14_32280				
PA14_32300	PA14_32300	Putative kinase	kinase	match to InterPro signature evidence used in automatic assertion	protein kinase activity; ATP binding; protein phosphorylation; protein binding; transferase activity, transferring phosphorus-containing groups
PA14_32330	PA14_32330	Putative cyanate permease	cyanate permease	match to InterPro signature evidence used in automatic assertion	integral component of membrane; transmembrane transport
PA14_32340	PA14_32340	Putative deaminase	deaminase	match to InterPro signature evidence used in automatic assertion	catalytic activity; zinc ion binding; hydrolase activity
PA14_32350	PA14_32350	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	protein binding
PA14_32360	PA14_32360	Putative lysR-family transcriptional regulator	lysR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_32380	oprN	Multidrug efflux outer membrane protein OprN	multidrug efflux outer membrane protein OprN precursor	match to InterPro signature evidence used in automatic assertion	transporter activity; transport; lipid binding; membrane
PA14_32390	mexF	RND multidrug efflux transporter MexF	RND multidrug efflux transporter MexF	match to InterPro signature evidence used in automatic assertion	integral component of membrane; transporter activity; transport; membrane
PA14_32400	mexE	RND multidrug efflux membrane fusion protein MexE	RND multidrug efflux membrane fusion protein MexE	match to InterPro signature evidence used in automatic assertion	membrane; transmembrane transport
PA14_32410	mexT	Transcriptional regulator MexT	transcriptional regulator MexT	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_32420	PA14_32420	Putative Zn-dependent oxidoreductase	oxidoreductase	sequence similarity evidence used in automatic assertion	negative regulation of protein secretion; negative regulation of secondary metabolite biosynthetic process; oxidoreductase activity; oxidation-reduction process; zinc ion binding
PA14_32450	PA14_32450	Putative transcriptional regulator, AraC family	AraC family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated; sequence-specific DNA binding; DNA binding
PA14_32460	PA14_32460	Putative transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated; sequence-specific DNA binding; DNA binding
PA14_32500	PA14_32500	Putative TetR-family transcriptional regulator	TetR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	DNA binding
PA14_32520	PA14_32520	Putative flavin-dependent oxidoreductase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; oxidation-reduction process
PA14_32530	PA14_32530	Putative cytochrome c	cytochrome c	match to InterPro signature evidence used in automatic assertion	electron carrier activity; heme binding; iron ion binding; periplasmic space
PA14_32540	PA14_32540	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	electron carrier activity; heme binding
PA14_32570	PA14_32570	Probable two-component sensor	two-component sensor	match to InterPro signature evidence used in automatic assertion	phosphorelay sensor kinase activity; signal transduction; membrane; phosphorylation; transferase activity, transferring phosphorus-containing groups; signal transducer activity; integral component of membrane
PA14_32580	PA14_32580	Probable two-component response regulator	two-component response regulator	match to InterPro signature evidence used in automatic assertion	phosphorelay signal transduction system; DNA binding; regulation of transcription, DNA-templated
PA14_32590	dipZ2	Thiol:disulfide interchange protein DsbD (EC 1.8.1.8) (Protein-disulfide reductase)	thiol:disulfide interchange protein	match to InterPro signature evidence used in automatic assertion	protein-disulfide reductase activity; oxidation-reduction process; membrane; cytochrome complex assembly; cell redox homeostasis
PA14_32600	PA14_32600	Probable thiol:disulfide interchange protein	thiol:disulfide interchange protein	match to InterPro signature evidence used in automatic assertion	protein lipoylation; membrane; transferase activity, transferring glycosyl groups; lipoprotein biosynthetic process; cell redox homeostasis; oxidoreductase activity
PA14_32610	PA14_32610				
PA14_32630	PA14_32630	Probable cytochrome P450	cytochrome P450	match to InterPro signature evidence used in automatic assertion	iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding; oxidation-reduction process; monooxygenase activity; protein binding
PA14_32650	PA14_32650	Probable glutathione S-transferase	glutathione S-transferase	match to InterPro signature evidence used in automatic assertion	catalytic activity; cytoplasm; aromatic amino acid family metabolic process; protein binding
PA14_32660	PA14_32660	Probable MFS transporter	MFS family transporter	match to InterPro signature evidence used in automatic assertion	transporter activity; transport; membrane; transmembrane transport; integral component of membrane
PA14_32670	PA14_32670	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	catalytic activity; metabolic process
PA14_32700	PA14_32700	Probable transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_32710	PA14_32710	Probable sigma-70 factor, ECF subfamily	ECF subfamily RNA polymerase sigma-70 factor	match to InterPro signature evidence used in automatic assertion	DNA binding; sequence-specific DNA binding transcription factor activity; DNA-templated transcription, initiation; regulation of transcription, DNA-templated; sigma factor activity
PA14_32740	optS	Probable TonB-dependent receptor	TonB-dependent receptor	match to InterPro signature evidence used in automatic assertion	outer membrane; receptor activity; transporter activity; transport; membrane; iron ion binding; siderophore transmembrane transporter activity; siderophore transport
PA14_32770	PA14_32770				
PA14_32780	PA14_32780	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	protein transport
PA14_32790	PA14_32790				
PA14_32830	PA14_32830	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	self proteolysis
PA14_32860	PA14_32860	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	N-acetyltransferase activity
PA14_32890	PA14_32890				
PA14_32905	PA14_32905	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	iron ion binding; cytoplasm; iron ion transport; enterochelin esterase activity
PA14_32930	PA14_32930				
PA14_32940	PA14_32940	Probable transcriptional regulator	transcriptional regulator	sequence similarity evidence used in automatic assertion	positive regulation of secondary metabolite biosynthetic process; positive regulation of cellular amino acid metabolic process; ATP binding; regulation of transcription, DNA-templated; transcription factor binding; DNA binding; signal transducer activity; signal transduction
PA14_32950	PA14_32950	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
PA14_32970	PA14_32970	Probable transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_32985	gcvH2	Glycine cleavage system H protein	glycine cleavage system protein H	match to InterPro signature evidence used in automatic assertion	glycine cleavage complex; glycine decarboxylation via glycine cleavage system
PA14_33000	gcvP2	Glycine dehydrogenase (decarboxylating) (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase) (Glycine dehydrogenase (aminomethyl-transferring))	glycine dehydrogenase	match to InterPro signature evidence used in automatic assertion	glycine dehydrogenase (decarboxylating) activity; glycine catabolic process; oxidation-reduction process; glycine metabolic process; catalytic activity; pyridoxal phosphate binding
PA14_33010	glyA2	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	serine hydroxymethyltransferase	match to InterPro signature evidence used in automatic assertion	glycine hydroxymethyltransferase activity; glycine metabolic process; L-serine metabolic process; catalytic activity; pyridoxal phosphate binding
PA14_33030	sdaA	L-serine dehydratase	L-serine dehydratase	match to InterPro signature evidence used in automatic assertion	L-serine ammonia-lyase activity; gluconeogenesis; 4 iron, 4 sulfur cluster binding
PA14_33040	gcvT2	Aminomethyltransferase (EC 2.1.2.10)	glycine cleavage system protein T2	match to InterPro signature evidence used in automatic assertion	aminomethyltransferase activity; cytoplasm; glycine catabolic process; protein binding
PA14_33060	PA14_33060	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	carbohydrate metabolic process; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; catalytic activity
PA14_33080	PA14_33080	Protein HflC	hypothetical protein	match to InterPro signature evidence used in automatic assertion	integral component of membrane; regulation of peptidase activity
PA14_33130	PA14_33130	Probable cation-transporting P-type ATPase	cation-transporting P-type ATPase	match to InterPro signature evidence used in automatic assertion	nucleotide binding; metal ion binding; cation transport; integral component of membrane; cation-transporting ATPase activity
PA14_33160	PA14_33160				
PA14_33170	PA14_33170	Putative transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_33190	PA14_33190	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	plasma membrane; transport
PA14_33220	PA14_33220	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	membrane; transmembrane transport
PA14_33240	PA14_33240	Uncharacterized protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	phosphorus metabolic process; polyphosphate kinase activity
PA14_33260	pvdS	Sigma factor PvdS	extracytoplasmic-function sigma-70 factor	match to InterPro signature evidence used in automatic assertion	DNA binding; sequence-specific DNA binding transcription factor activity; DNA-templated transcription, initiation; regulation of transcription, DNA-templated; sigma factor activity
PA14_33270	pvdG	PvdG	protein PvdG	match to InterPro signature evidence used in automatic assertion	biosynthetic process; hydrolase activity, acting on ester bonds
PA14_33280	pvdL	PvdL	peptide synthase	match to InterPro signature evidence used in automatic assertion	phosphopantetheine binding; catalytic activity; metabolic process
PA14_33300	PA14_33300				
PA14_33310	PA14_33310				
PA14_33320	PA14_33320				
PA14_33330	PA14_33330				
PA14_33340	PA14_33340				
PA14_33350	PA14_33350				
PA14_33410	opdJ	Probable porin	porin	match to InterPro signature evidence used in automatic assertion	transport; porin activity; integral component of membrane
PA14_33420	PA14_33420	Putative hydrolase	hydrolase	match to InterPro signature evidence used in automatic assertion	catalytic activity; metabolic process
PA14_33440	PA14_33440	Putative transcriptional regulator, LysR family	LysR family transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_33450	treA	Periplasmic trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)	trehalase	sequence similarity evidence used in automatic assertion	trehalase activity; cellular catabolic process; catalytic activity; alpha,alpha-trehalase activity; trehalose metabolic process; trehalose catabolic process; periplasmic space; cellular hyperosmotic response
PA14_33480	sndH	L-sorbosone dehydrogenase	L-sorbosone dehydrogenase	match to InterPro signature evidence used in automatic assertion	carbohydrate metabolic process; oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor; quinone binding; catalytic activity
PA14_33500	pvdH	L-2,4-diaminobutyrate:2-ketoglutarate 4-aminotransferase, PvdH	diaminobutyrate--2-oxoglutarate aminotransferase	match to InterPro signature evidence used in automatic assertion	catalytic activity; pyridoxal phosphate binding; transaminase activity; biosynthetic process
PA14_33520	PA14_33520	Putative thioesterase	thioesterase	match to InterPro signature evidence used in automatic assertion	biosynthetic process; hydrolase activity, acting on ester bonds
PA14_33530	PA14_33530	Putative ABC transporter, periplasmic substrate-binding protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	metal ion transport; metal ion binding
PA14_33540	PA14_33540	Putative permease of ABC transporter	ABC transporter permease	match to InterPro signature evidence used in automatic assertion	ATP binding; transport; membrane; ATPase activity, coupled to transmembrane movement of substances
PA14_33550	PA14_33550	Putative ATP-binding component of ABC transporter	ABC transporter ATP-binding protein	match to InterPro signature evidence used in automatic assertion	ATP binding; ATPase activity
PA14_33560	PA14_33560	Putative adhesion protein	adhesion protein	match to InterPro signature evidence used in automatic assertion	cell adhesion; metal ion transport; metal ion binding
PA14_33610	PA14_33610	Probable non-ribosomal peptide synthetase	peptide synthase	match to InterPro signature evidence used in automatic assertion	phosphopantetheine binding; catalytic activity; metabolic process
PA14_33630	pvdJ	PvdJ	protein PvdJ	match to InterPro signature evidence used in automatic assertion	catalytic activity; metabolic process
PA14_33650	pvdD	Pyoverdine synthetase D	pyoverdine synthetase D	match to InterPro signature evidence used in automatic assertion	catalytic activity; metabolic process; biosynthetic process; hydrolase activity, acting on ester bonds
PA14_33680	fpvA	Ferripyoverdine receptor	ferripyoverdine receptor	match to InterPro signature evidence used in automatic assertion	receptor activity; transporter activity; transport; membrane; iron ion binding; siderophore transmembrane transporter activity; siderophore transport; outer membrane
PA14_33690	pvdE	Pyoverdine biosynthesis protein PvdE	pyoverdine biosynthesis protein PvdE	match to InterPro signature evidence used in automatic assertion	ATP binding; transport; integral component of membrane; ATPase activity, coupled to transmembrane movement of substances; transmembrane transport; ATPase activity; peptide transporter activity; peptide transport
PA14_33700	pvdF	Pyoverdine synthetase F	pyoverdine synthetase F	match to InterPro signature evidence used in automatic assertion	biosynthetic process; hydroxymethyl-, formyl- and related transferase activity
PA14_33720	pvdN	PvdN	protein PvdN	match to InterPro signature evidence used in automatic assertion	catalytic activity; pyridoxal phosphate binding; metabolic process
PA14_33730	PA14_33730	Putative dipeptidase	dipeptidase	match to InterPro signature evidence used in automatic assertion	proteolysis; dipeptidase activity
PA14_33750	opmQ	Putative outer membrane protein	outer membrane protein	match to InterPro signature evidence used in automatic assertion	transporter activity; transport; lipid binding; membrane
PA14_33760	PA14_33760	ATP binding	ABC transporter ATP-binding protein/permease	match to InterPro signature evidence used in automatic assertion	ATP binding; ATPase activity; membrane; hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances
PA14_33770	PA14_33770	Putative ABC export system, membrane fusion protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	transmembrane transport; membrane
PA14_33800	PA14_33800	Putative sigma-70 factor, ECF subfamily	RNA polymerase sigma factor	match to InterPro signature evidence used in automatic assertion	DNA binding; sequence-specific DNA binding transcription factor activity; DNA-templated transcription, initiation; regulation of transcription, DNA-templated; sigma factor activity
PA14_33810	pvdA	L-ornithine N5-oxygenase	L-ornithine N5-oxygenase	match to InterPro signature evidence used in automatic assertion	oxidation-reduction process
PA14_33820	pvdQ	Penicillin acylase-related protein	penicillin acylase-related protein	sequence similarity evidence used in automatic assertion	N-acetyl-anhydromuramoyl-L-alanine amidase activity; hydrolase activity; antibiotic biosynthetic process; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
PA14_33840	PA14_33840	Putative transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated
PA14_33860	lldA	L-lactate dehydrogenase	L-lactate dehydrogenase	match to InterPro signature evidence used in automatic assertion	FMN binding; oxidoreductase activity; oxidation-reduction process; catalytic activity
PA14_33890	aldG	Putative oxidoreductase	oxidoreductase	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity; metal ion binding; oxidation-reduction process; electron carrier activity; iron-sulfur cluster binding; 2 iron, 2 sulfur cluster binding
PA14_33900	PA14_33900	Putative aldehyde dehydrogenase	aldehyde dehydrogenase	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity; oxidation-reduction process
PA14_33920	PA14_33920	Putative transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	phosphorelay signal transduction system; sequence-specific DNA binding transcription factor activity; regulation of transcription, DNA-templated; DNA binding
PA14_33990	PA14_33990	Probable ClpA/B-type protease	ClpV3	match to InterPro signature evidence used in automatic assertion	ATP binding; protein metabolic process
PA14_34020	PA14_34020	Uncharacterized protein	HsiF3	match to InterPro signature evidence used in automatic assertion	copper ion binding; amine metabolic process; quinone binding
PA14_34140	PA14_34140				
PA14_34150	sfnR	Putative sigma54-dependent transcriptional regulator	Sfa3	match to InterPro signature evidence used in automatic assertion	ATP binding; regulation of transcription, DNA-templated; transcription factor binding; DNA binding
PA14_34180	msuE	NADH-dependent FMN reductase	NADH-dependent FMN reductase MsuE	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity
PA14_34190	msuD	Alkanesulfonate monooxygenase (EC 1.14.14.5) (FMNH2-dependent aliphatic sulfonate monooxygenase)	methanesulfonate sulfonatase MsuD	match to InterPro signature evidence used in automatic assertion	oxidation-reduction process; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; alkanesulfonate monooxygenase activity
PA14_34200	msuC	Putative FMNH2-dependent monooxygenase	FMNH2-dependent monooxygenase	match to InterPro signature evidence used in automatic assertion	acyl-CoA dehydrogenase activity; oxidation-reduction process; oxidoreductase activity, acting on the CH-CH group of donors; metabolic process; flavin adenine dinucleotide binding
PA14_34210	sfnR	Putative transcriptional regulator	transcriptional regulator	match to InterPro signature evidence used in automatic assertion	ATP binding; regulation of transcription, DNA-templated; transcription factor binding; DNA binding
PA14_34230	PA14_34230	Putative ATPase	hypothetical protein	match to InterPro signature evidence used in automatic assertion	ATP binding
PA14_34250	PA14_34250	Putative glycerophosphoryl diester phosphodiesterase	glycerophosphoryl diester phosphodiesterase	match to InterPro signature evidence used in automatic assertion	lipid metabolic process; phosphoric diester hydrolase activity
PA14_34260	metI-1	Putative permease of ABC transporter	ABC transporter permease	match to InterPro signature evidence used in automatic assertion	transport; membrane
PA14_34270	PA14_34270	ATP binding	ABC transporter ATP-binding protein	match to InterPro signature evidence used in automatic assertion	ATP binding; ATPase activity
PA14_34290	PA14_34290	Putative monooxygenase, DszA family	DszA family monooxygenase	match to InterPro signature evidence used in automatic assertion	monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; oxidation-reduction process
PA14_34300	PA14_34300	Putative monooxygenase, DszC family	DszC family monooxygenase	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity, acting on the CH-CH group of donors; oxidation-reduction process; metabolic process; flavin adenine dinucleotide binding; acyl-CoA dehydrogenase activity
PA14_34320	PA14_34320	Putative monooxygenase, DszC family	DszC family monooxygenase	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity, acting on the CH-CH group of donors; oxidation-reduction process; acyl-CoA dehydrogenase activity; metabolic process; flavin adenine dinucleotide binding
PA14_34330	PA14_34330	Putative transmembrane protein	hypothetical protein	match to InterPro signature evidence used in automatic assertion	oxidoreductase activity; oxidation-reduction process
